value,label
758,WDR63
759,MCOLN3
760,SYDE2
761,C1orf52
762,BCL10
763,DDAH1
764,CCN1
765,ZNHIT6
766,COL24A1
767,ODF2L
768,CLCA2
769,CLCA1
770,CLCA4
771,SH3GLB1
772,SELENOF
773,HS2ST1
774,LMO4
775,PKN2
776,GTF2B
777,KYAT3
778,RBMXL1
779,GBP1
780,GBP2
781,GBP7
782,GBP4
783,GBP5
784,GBP6
785,LRRC8B
786,LRRC8C
787,LRRC8D
788,ZNF326
789,BARHL2
790,ZNF644
791,HFM1
792,CDC7
793,TGFBR3
794,BRDT
795,EPHX4
796,BTBD8
797,C1orf146
798,GLMN
799,RPAP2
800,GFI1
801,EVI5
802,DIPK1A
803,MTF2
804,TMED5
805,CCDC18
806,DR1
807,FNBP1L
808,BCAR3
809,DNTTIP2
810,GCLM
811,ABCA4
812,ARHGAP29
813,ABCD3
814,F3
815,SLC44A3
816,CNN3
817,ALG14
818,TLCD4
819,RWDD3
820,PTBP2
821,DPYD
822,SNX7
823,PLPPR5
824,PLPPR4
825,PALMD
826,FRRS1
827,AGL
828,SLC35A3
829,MFSD14A
830,SASS6
831,TRMT13
832,LRRC39
833,DBT
834,RTCA
835,CDC14A
836,GPR88
837,VCAM1
838,EXTL2
839,SLC30A7
840,DPH5
841,S1PR1
842,OLFM3
843,COL11A1
844,RNPC3
845,AMY2B
846,PRMT6
847,NTNG1
848,VAV3
849,SLC25A24
850,FAM102B
851,HENMT1
852,PRPF38B
853,FNDC7
854,STXBP3
855,AKNAD1
856,GPSM2
857,CLCC1
858,WDR47
859,TMEM167B
860,C1orf194
861,KIAA1324
862,SARS
863,CELSR2
864,PSRC1
865,MYBPHL
866,SORT1
867,PSMA5
868,SYPL2
869,ATXN7L2
870,CYB561D1
871,AMIGO1
872,GPR61
873,GNAI3
874,GNAT2
875,AMPD2
876,GSTM1
877,GSTM3
878,EPS8L3
879,CSF1
880,AHCYL1
881,STRIP1
882,ALX3
883,UBL4B
884,SLC6A17
885,KCNC4
886,SLC16A4
887,PROK1
888,KCNA10
889,KCNA2
890,KCNA3
891,CD53
892,LRIF1
893,DRAM2
894,CEPT1
895,DENND2D
896,CHI3L2
897,CHIA
898,PIFO
899,OVGP1
900,WDR77
901,ATP5PB
902,C1orf162
903,TMIGD3
