"X","Y"
11717,14426
12978,12539
6162,11240
11971,16022
15501,11377
14245,18195
17517,7894
14240,12683
13225,7462
12730,17326
14991,6445
10707,13557
16006,11666
14490,10507
7170,9208
9697,12977
15754,12392
7682,17331
19039,16886
9954,18054
11970,15151
12976,10799
10703,9205
17516,7313
12472,11960
20045,13113
9956,20665
15250,13263
11219,21389
7680,15010
17268,12390
14499,20661
6419,16897
18022,9054
6667,11530
13735,12974
13226,7752
10966,20374
17019,15437
17016,12826
12223,15586
12229,21678
11968,12830
17023,20369
15755,14132
9450,19215
11720,17327
6666,10369
16002,7895
16761,10070
11215,16748
20047,14564
15500,10506
7675,10368
12981,16601
20549,11952
7677,11819
10450,8190
14239,11813
17525,17467
21056,14563
21307,12387
14994,9927
15506,17759
10704,10366
10450,8480
13477,6157
13490,20372
11963,7028
9952,15733
15256,19935
6667,11240
6162,10950
9446,14283
6165,15011
13739,17035
10199,10366
11470,20084
16258,11521
12727,14425
12982,17181
8940,13413
15252,15583
14747,15004
10454,13122
12722,9203
10208,19940
6414,10805
11972,16892
7927,9933
5406,13126
6919,10804
16509,9635
16261,15292
13485,15150
20043,10502
11468,18053
7933,16605
16010,16888
19543,16305
20043,10792
8688,13559
17527,19208
8685,10077
19798,18480
18274,8328
15251,14713
16760,8329
13235,18486
8684,8917
15752,10651
17769,7748
6917,9354
13486,16310
5912,13996
9442,9641
11208,9785
5913,15447
10954,7029
10960,13992
10203,14137
12980,14860
11459,7609
20045,12823
14247,20516
11971,15731
17273,17902
10706,12686
21057,15433
17021,18338
6167,17042
13486,16020
11714,10365
7933,16315
15251,14133
12972,6447
8440,18926
10714,21100
15252,16164
12973,7027
13734,11233
16264,18193
15248,11522
6671,16462
14752,21386
9701,17909
6414,10515
11218,20229
8946,20086
19795,15869
13488,18341
11724,21679
20048,16014
15249,12392
11965,8769
13991,16310
6925,17767
16764,13261
15508,19210
14998,13408
19292,17320
15753,10941
7174,14140
20297,12968
7932,15445
14237,10072
13487,17471
14744,11522
14996,11377
8688,13268
13991,17180
12221,12685
12972,6157
7429,16896
14994,9346
17775,14421
7928,10803
17267,10650
16255,8040
13731,8042
14992,7316
10957,10801
15000,16599
11470,20374
14237,9782
10205,16458
20801,11227
17272,16162
11972,17182
13990,16020
16011,17178
17524,15726
14500,21241
11206,6884
12975,9928
15504,14858
14492,12538
20553,16014
11219,21099
17264,7168
17023,20659
15755,13262
11713,10075
11975,20373
7930,12834
12978,12829
14752,21096
11723,20809
16516,18048
14238,10943
16767,16452
9696,12107
7683,19072
11721,17907
12725,12395
17522,14276
7424,11964
15756,14423
13479,9058
9949,12252
13738,15585
11212,13556
14243,16745
6665,9789
16513,14567
19545,18336
17017,13696
20295,10647
17266,10360
6162,11820
10711,17908
7936,19216
9441,9351
8937,10222
10702,7465
19538,10503
13233,15295
17517,8764
5910,12256
11975,19793
10451,9350
9694,10076
10966,20664
14492,12248
8431,9062
12469,7898
7676,10949
9952,15443
15003,19210
18031,18917
12216,7753
15248,10942
17266,9779
17022,18918
7935,18346
8689,14429
16257,10651
19031,8182
10458,17183
7929,11964
9954,18634
14247,20806
11460,9059
18535,17466
13736,13844
14740,7171
13483,13119
17525,17177
16006,12537
6417,14576
11974,19213
15503,14568
14742,10072
18531,13405
16514,15147
7678,13269
18783,12389
10702,8335
16004,9345
11464,12831
15250,12972
14746,14714
12471,10799
12471,10219
13987,12538
13736,13554
17771,10069
17522,13696
12227,20228
21057,15723
8944,17185
19286,11228
8937,9932
13732,9783
19790,10357
12721,7463
8943,16895
9198,19941
12469,8768
12982,17761
11217,19068
15497,7895
11467,16892
12720,6592
6166,16172
19543,15725
11721,18198
13237,20227
14741,8911
17274,19063
10959,13121
16007,12827
6166,15592
18536,19207
11712,8044
9189,8916
14497,18050
11973,17472
15004,20951
13232,15005
10959,13412
16511,12536
16260,13552
14234,6591
9449,17474
12731,19067
9192,12978
10955,8480
11722,19648
19039,16595
10956,9930
13739,17616
12475,14861
8935,8191
19034,11373
13483,12829
15760,19064
13733,10073
9451,20085
11716,12686
6672,17042
6921,13415
8686,11528
8938,10802
16260,13842
8180,10368
19792,11808
13742,19936
12721,8043
19538,9922
18780,9198
5660,14142
9703,19650
7936,19506
8182,12689
18531,12824
21055,13693
7173,12980
9197,17910
9444,12252
11207,8624
14241,13844
12215,6883
17769,7458
10955,8190
18283,18192
9950,13993
10202,12977
11208,9495
12726,13265
11717,13556
12726,13555
13994,20371
20296,11517
8692,18490
11215,17038
18021,7603
12224,15876
16007,13407
15752,9781
12222,14426
8183,13559
7681,16461
9696,11817
9698,13848
11465,14571
17013,9345
6413,10224
18277,11519
9949,12542
16004,9636
13479,8477
11459,7899
12228,20808
15508,20080
19541,13984
19041,18916
16511,12246
15505,16599
11715,12105
10702,8045
14998,13698
11216,18488
16761,9200
11968,12250
9443,11672
13232,14135
7431,18637
11218,20519
15757,15583
11466,15732
19034,11083
10709,15588
11210,11235
10199,10076
15249,12102
18276,10359
9188,8626
19794,14129
7927,9353
6670,15301
18023,9344
8187,17330
13733,10943
20553,16594
11209,10365
21056,14853
19035,12824
11467,16602
13737,15295
11464,13411
10203,13847
11471,20664
12221,13265
11211,12106
10456,15153
12218,10074
9447,16024
14748,16744
18274,7748
11965,9059
8187,17621
11964,7899
11471,21534
8184,14429
9195,16169
9949,12832
11713,9784
12225,17327
15506,16889
16260,14422
10712,19359
16511,12826
16770,19644
10964,18053
17776,15291
19287,11808
15254,17324
13986,11088
13738,16165
10199,9786
11207,8044
6673,18202
13227,9493
16012,18919
7427,15155
21057,15143
17779,18482
11212,14137
10958,11671
15003,19500
18275,9779
12978,13120
18024,10504
5658,12111
15505,16018
16263,16743
7422,9643
14995,10507
20302,17610
8436,13994
18032,19497
11460,9350
8440,18055
20048,15724
10960,14282
9704,20810
20806,16739
10709,15878
7929,11093
9954,17764
11208,9205
11972,16602
14993,8476
11719,15877
16013,20370
16001,7025
18284,19062
11471,20954
18533,15435
13478,7317
13740,17906
6164,13271
18022,8473
10457,16313
20803,13258
6668,13270
12974,8768
17771,10649
9190,10947
17020,17177
15505,16308
14488,8476
16764,12971
6164,14141
17268,11810
18022,8763
10456,14862
15246,9491
9443,11382
15756,14713
10965,19504
14751,19355
8181,10948
9193,14428
7170,10079
13983,7317
16011,17759
19041,18626
15005,21531
8687,12688
20044,11373
8938,10512
15507,18919
12226,18777
13991,16600
13733,10363
6162,11530
11720,16747
16509,10215
7424,11674
8945,18345
9946,9351
15002,18630
13742,20807
14498,19501
11722,19068
13485,15440
11718,14716
15004,20661
11718,15006
20047,14854
8941,14574
6418,15736
12477,17182
20295,10357
20301,17029
15509,20950
12479,19793
21056,14273
20299,14128
11968,11960
14741,8331
12983,18922
15251,15003
8183,12979
13992,18341
5407,14287
7683,18781
14238,10653
17523,14566
15502,13407
14996,11087
